code,state,category,tornado totals, season
IA,State,state,1.8,fall
SD,South Dakota,state,1.8,fall
NE,Nebraska,state,0.4,fall
KS,Kansas,state,6,fall
MO,Missouri,state,8.6,fall
TX,Texas,state,11.8,fall
OK,Oklahoma,state,11.6,fall
HW,Hawaii,state,20,fall
AA,Alaska,state,0,fall
