code,state,category,tornado totals, season
IA,Iowa,state,16.4,spring
SD,South Dakota,state,11.4,spring
NE,Nebraska,15.2,state,spring
KS,Kansas,50.2,state,spring
MO,Missouri,21.8,state,spring
TX,Texas,80.8,state,spring
OK,Oklahoma,55.8,state,spring
