code,state,category,tornado totals, season
IA,Iowa,state,23,summer
SD,South Dakota,state,15,summer
NE,Nebraska,state,19.6,summer
KS,Kansas,state,12.4,summer
MO,Missouri,state,9.4,summer
TX,Texas,state,18.8,summer
OK,Oklahoma,state,5.4,summer
HW,Hawaii,state,100,summer
