code,state,category,tornado totals, season
IA,Iowa,state,12.8,spring
SD,South Dakota,state,2.9,spring
NE,Nebraska,state,16.4,spring
KS,Kansas,state,39.1,spring
MO,Missouri,state,21.7,spring
TX,Texas,state,60.6,spring
OK,Oklahoma,state,54,spring
HW,Hawaii,state,100,spring
