code,state,category,tornado totals, season
IA,Iowa,state,6.6,fall
SD,South Dakota,state,1.8,fall
NE,Nebraska,state,2.2,fall
KS,Kansas,state,4.8,fall
MO,Missoouri,state,6.6,fall
TX,Texas,state,8.2,fall
OK,Oklahoma,state,5,fall
HW,Hawaii,state,100,fall
