code,state,category,tornado totals, season
IA,Iowa,state,20.7,spring
SD,South Dakota,state,6.2,spring
NE,Nebraska,state,19.9,spring
KS,Kansas,state,57.4,spring
MO,Missouri,state,28.4,spring
TX,Texas,state,73.6,spring
OK,Oklahoma,state,58.9,spring
HW,Hawaii,state,100,spring
AA,Alaska,state,0,spring
