code,state,category,tornado totals, season
IA,Iowa,state,31.3,summer
SD,South Dakota,state,13.6,summer
NE,Nebraska,state,20.3,summer
KS,Kansas,state,17.2,summer
MO,Missouri,state,6.1,summer
TX,Texas,state,12.6,summer
OK,Oklahoma,state,4.2,summer
HW,Hawaii,state,40,summer
AA,Alaska,state,0,summer
